ID,Role,Description,Experience,Company,Date,Salary,City,JavaScript,HTML,SQL,Python,Java,C#,PHP,TypeScript,C++,Kotlin,Ruby,VBA,Swift,jQuery,React,Angular,.NET,Express,Vue,Spring,Django,Drupal,Node.js,Laravel,mySQL,PostgreSQL,SQLite,MongoDB,Oracle,Microsoft SQL,Redis,MariaDB,Firebase,Cassandra,Back-end,Full-stack,Front-end,Mobile,Devops,Database Admin.,Data Scientist,QA or Test
1884741705,"
        Desarrollador programador. linux
    ","Importante Multinacional requiere Ingeniero de Sistemas egresado, con experiencia laboral mínima de cinco años en desarrollo de aplicaciones,  análisis de requerimientos,Soporte a cliente final e interno. Conocimiento en  Conocimiento y documentos XML, Validación Schemas, XSD, en particular XML de factura electrónica. Conocimientos de PHP, Perl, Python, Java.  Conocimientos en Desarrollo Web (HTML, CSS, Javascript) . Conocimientos en Desarrollo WebServices SOAP, JSON. Conocimientos de SQL(PostgreSQL, MySQL). Indispensable Dominio de Linux nivel avanzado.Salario $4.000.000  a $6.000.000+prestaciones de ley","
          5 años de experiencia
        ",ASCENDER TALENTO SAS,2021-04-05,"
                        $4,5 a $5,5 millones
                    ","
Bogotá
                        
                    ",True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884729823,"
        Desarrollador developer ios
    ","Prestigiosa Compañía Estadounidense requiere para laborar Ingeniero Eléctrico, Electrónico, de Sistemas, Telecomunicaciones y/o afines,  con experiencia de 3 años de experiencia en construcción de aplicaciones IOS en las área de comercio electrónico, comercio minorías y procesos logísticos . Trabajará en diseños arquitectónicos, resolución de problemas, desarrollará funcionalidades y observará datos de prueba para mejorar la funcionalidad. Competente en SWIFT y OBJETIVE -CComprensión de los principios de diseño y las pautas de interface de APPLE . Experiencia en optimización del rendimiento y Bilingüe.Se ofrece contrato a término indefinido, trabajo remoto y más beneficios.","
          3 años de experiencia
        ",Nexarte,2021-03-17,"
                        Salario a convenir
                    ","
Bogotá
                        
                    ",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884724703,"
        Programador
    ","Objetivo del Puesto:Diseñar reportes y modeloss financieros que permitan realizar proyecciones dentro de la región.Funciones:-Diseñar reportes con información financiera para toda la región (LAN)- Realizar el debido mantenimiento de los reportes y asegurar su correcto funcionamiento de cada uno.- Analizar información financiera para determinar que reporte se debe realizar y de esta manera pueda contribuir a la estrategia de la firma.- Diseñar modelos financieros que permita hacer proyecciones dentro de la regiónRequisitos:Profesional de Ing. En Sistemas Computacionales o Afín,Experiencia de 1 a 3 años como  Programador.Conocimientos de lenguajes de programación como SQL y Java así como Selenium, Hibernate, Postgre y Spring boot.Inglés B2","
          2 años de experiencia
        ",Ernst & Young,2021-03-11,"
                        Salario a convenir
                    ","
Bogotá
                        
                    ",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884740096,"
        Desarrollador , programador, analista junior
    ","Importante entidad del sector financiero se encuentra en expansión de nuevos proyectos de ingeniería y se encuentra en la búsqueda del mejor talento y solo nos faltas tu¡Posición: Desarrollador Junior / BogotáRequisitos:Ser profesional certificado en carreras como ingeniería de sistemas, ingeniería electrónica, Ingeniería telecomunicaciones,Ingeniería software etc o a fines.Experiencia de 1 año en desarrollo bajo cualquiera de los siguientes lenguajes JAVA, .NET PL/SQL certificableBuena actitud y disposición, apasionados por el desarrollo, abiertos aprender nuevas tecnologías.Horario Lunes a ViernesSalario $ 2.924.000 + todas las prestaciones de ley, estabilidad laboral.","
          1 año de experiencia
        ",SERDAN SA,2021-03-30,"
                        $2,5 a $3 millones
                    ","
Bogotá
                        
                    ",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884741220,"
        Desarrollador
    ","Importante empresa de telecomunicaciones necesita incorporar a su equipo de trabajo a un profesional del área Desarrollo a un: DESARROLLADOR.REQUISITOS:*Ingeniero Informático o carrera afín*Conocimientos en PHP, Python, PostgreSQL, React Native y aplicaciones móviles.*Deseable que tenga experiencia en integraciones con Facebook, Instagram y Whatsapp.*Experiencia mínima de 03 años en puesto afines, deseable en Call Center.FUNCIONES:- Apoyar al equipo de desarrollo en la creación y optimización de software internos.- Asegurar la continuidad operacional mediante la programación de la base de datos.- Depurar y actualizar la base de datos generando informes para el área de operaciones.- Cargar bases de datos a las diversas campañas.- Revisión y actualización de las listas correspondientes de las personas que rechazan las llamadas y anuncian denuncias dada la ley del consumidor.- Revisión y análisis de los resultados de las llamadas registradas en las bases de datos.Si cumples con los requisitos, postula por este medio y te contactaremos para una entrevista virtual.","
          1 año de experiencia
        ",Empresa confidencial,2021-04-01,"
                        Salario a convenir
                    ","
Medellín
                        
                    ",True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884739345,"
        Desarrollador
    ","Importante empresa de telecomunicaciones necesita incorporar a su equipo de trabajo a un profesional del área Desarrollo a un: DESARROLLADOR.REQUISITOS:*Ingeniero Informático o carrera afín*Conocimientos en PHP, Python, PostgreSQL, React Native y aplicaciones móviles.*Deseable que tenga experiencia en integraciones con Facebook, Instagram y Whatsapp.*Experiencia mínima de 03 años en puesto afines, deseable en Call Center.FUNCIONES:- Apoyar al equipo de desarrollo en la creación y optimización de software internos.- Asegurar la continuidad operacional mediante la programación de la base de datos.- Depurar y actualizar la base de datos generando informes para el área de operaciones.- Cargar bases de datos a las diversas campañas.- Revisión y actualización de las listas correspondientes de las personas que rechazan las llamadas y anuncian denuncias dada la ley del consumidor.- Revisión y análisis de los resultados de las llamadas registradas en las bases de datos.Si cumples con los requisitos, postula por este medio y te contactaremos para una entrevista virtual.","
          1 año de experiencia
        ",Empresa confidencial,2021-03-30,"
                        Salario a convenir
                    ","
Medellín
                        
                    ",True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884736777,"
        Desarrollador
    ","Importante empresa de telecomunicaciones necesita incorporar a su equipo de trabajo a un profesional del área Desarrollo a un: DESARROLLADOR.REQUISITOS:*Ingeniero Informático o carrera afín*Conocimientos en PHP, Python, PostgreSQL, React Native y aplicaciones móviles.*Deseable que tenga experiencia en integraciones con Facebook, Instagram y Whatsapp.*Experiencia mínima de 03 años en puesto afines, deseable en Call Center.FUNCIONES:- Apoyar al equipo de desarrollo en la creación y optimización de software internos.- Asegurar la continuidad operacional mediante la programación de la base de datos.- Depurar y actualizar la base de datos generando informes para el área de operaciones.- Cargar bases de datos a las diversas campañas.- Revisión y actualización de las listas correspondientes de las personas que rechazan las llamadas y anuncian denuncias dada la ley del consumidor.- Revisión y análisis de los resultados de las llamadas registradas en las bases de datos.Si cumples con los requisitos, postula por este medio y te contactaremos para una entrevista virtual.","
          1 año de experiencia
        ",Empresa confidencial,2021-03-26,"
                        Salario a convenir
                    ","
Medellín
                        
                    ",True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1884722397,"
        Desarrollador
    ","Empresa del sector salud busca para su equipo de trabajo, en la ciudad de bogotá : Ingeniero de Sistemas, con 1 año de experiencia certificable, conocimientos en ASP .NET, MVC, SQL Server (Procedimientos almacenados,disparadores, funciones), Programación orientada a objetos y Java Script.Contrato laboral a termino indefinido, horario de lunes a viernes salario a convenir segun el perfil de la persona seleccionada.","
          1 año de experiencia
        ",Empresa confidencial,2021-03-09,"
                        Salario a convenir
                    ","
Bogotá
                        
                    ",True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1884743436,"
        Desarrollador
    ","Se requiere tecnólogo en software, sistemas, electrónica o afines para proyecto de desarrollo con experiencia mínima de 1 en año en desarrollo de aplicaciones .NET y motor de bases de datos SQL Server.Salario $3.400.000Trabajo en casa, horario Lunes a Viernes 8:00 a.m. a 5:00 p.m. Sábados cada 15 días de 8:00 a.m. a 1:00 p.m.Contrato a termino indefinido","
          1 año de experiencia
        ",Clinica Barraquer,2021-04-06,"
                        $3 a $3,5 millones
                    ","
Bogotá
                        
                    ",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1884739897,"
        Desarrollador de java
    ","Se requiere Ingeniero de Sistemas o carrera a fines que cuente con la siguiente experiencia:1. Experiencia demostrada en el desarrollo de aplicaciones web/móviles2. Experiencia laboral en Java, J2EE, Servicios Web (SOAP y REST), Java Script, React3. Experiencia de trabajo en bases de datos como Sybase, MS SQL4. Conocimiento del ciclo de vida del desarrollo y de las metodologías de desarrollo de software5. 4 años de experiencia en desarrollo de software y 2 años en un puesto de desarrollador senior6. Ingles intermedio/avanzado (B2)","
          4 años de experiencia
        ",MANPOWER,2021-03-30,"
                        $5,5 a $6 millones
                    ","
Bogotá
                        
                    ",True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
